activity_key	unit	co2e_per_unit	scope
diesel_fuel	l	2.68	Scope 1
natural_gas	m3	2.02	Scope 1
petrol	l	2.31	Scope 1
lpg	kg	2.983	Scope 1
grid_electricity	kWh	0.385	Scope 2
water_supply	m3	0.149	Scope 3
wastewater_treatment	m3	0.272	Scope 3
waste_cardboard	kg	0.82	Scope 3
waste_cardboard_recyc	kg	0.065	Scope 3
waste_plastic_mixed	kg	0.04	Scope 3
waste_plastic_incin	kg	1.42	Scope 3
virgin_hdpe_plastic	kg	1.95	Scope 3
virgin_pet_plastic	kg	2.15	Scope 3
virgin_steel	kg	1.8	Scope 3
virgin_aluminum	kg	11.5	Scope 3
recycled_hdpe_flakes	kg	0.62	Scope 3
rpet_regrind	kg	0.45	Scope 3
recycled_scrap_steel	kg	0.42	Scope 3
recycled_aluminum	kg	0.65	Scope 3
virgin_plastic_pellets	kg	2.05	Scope 3
color_additives	kg	2.8	Scope 3
packaging_material	kg	0.95	Scope 3
virgin_pp_plastic	kg	1.95	Scope 3
virgin_ldpe_plastic	kg	2.08	Scope 3
recycled_plastic_pellets	kg	0.52	Scope 3
bio_carrier_masterbatch	kg	1.1	Scope 3
recycled_corrugated_packaging	kg	0.2	Scope 3
recycled_pp_granules	kg	0.58	Scope 3
recycled_ldpe_pellets	kg	0.6	Scope 3
industrial_lubricant	kg	1.2	Scope 3
re_refined_lubricant	kg	0.35	Scope 3
virgin_copper	kg	4.1	Scope 3
recycled_scrap_copper	kg	0.85	Scope 3
virgin_glass	kg	0.85	Scope 3
recycled_cullet_glass	kg	0.32	Scope 3
virgin_paper_kraft	kg	1.1	Scope 3
recycled_kraft_paper	kg	0.35	Scope 3
